Ontario,14446515  
Quebec,8433301  
British Columbia,5020302 
Alberta,4345737   
Manitoba,1360396   
Saskatchewan,1168423   
Nova Scotia,965382 
New Brunswick,772094 
Newfoundland and Labrador,523790 
Prince Edward Island,154748 
Northwest Territories,44598 
Yukon,40369 
Nunavut,38787
Grand Princess,10000000000
Diamond Princess,10000000000
Recovered,1000000
